ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005006959498054,https://ae-pic-a1.aliexpress-media.com/kf/S55a7393e146a455c8e2d2f1d2821b87f2.jpg,,Laptop Bag For Xiaomi Lenovo Dell Notebook Computer Laptop Sleeve For Macbook Air Pro Retina 13 14 15 15.6 Inch Laptops Case,USD 6.77,USD 3.25,52%,USD,7.0,USD 0.23,7.0,USD 0.23,34064,92.6%,https://s.click.aliexpress.com/e/_c3xFHyYt,,,,,,
1005007439134451,https://ae-pic-a1.aliexpress-media.com/kf/S11bcd4a84cae4b2d957d0890c4aaa00bH.jpg,,Essager USB Bluetooth 5.3 Adapter Aux Audio Receiver Transmitter For PC Speaker Laptop soundbox Wireless Mouse USB Transmitter,USD 2.74,USD 2.74,0%,USD,8.0,USD 0.22,7.0,USD 0.19,2744,91.0%,https://s.click.aliexpress.com/e/_c3BHAG7X,,,,,,
1005010687357328,https://ae-pic-a1.aliexpress-media.com/kf/Sdd4658af674142d18bc397fe1b7340f5t.jpg,,2.4G Wireless Mouse 6 Keys Gaming Mouse Ergonomic Silent Mouse DPI Adjustable Optical Office Mice for PC Laptop MacBook Windows,USD 3.87,USD 3.82,1%,USD,8.0,USD 0.31,3.0,USD 0.11,144,92.2%,https://s.click.aliexpress.com/e/_c3wPG4Fr,,,,,,
1005006825608006,https://ae-pic-a1.aliexpress-media.com/kf/Sa441149e01394ba6909cca7ddbd6ceaem.jpg,,4K USB 3.0 Video Capture Card 1080P USB 2.0 HDMI Game Grabber Box For PS4 DVD Camera PC Recording Placa De Video Live Streaming,USD 5.17,USD 5.17,0%,USD,3.0,USD 0.16,3.0,USD 0.16,459,93.3%,https://s.click.aliexpress.com/e/_c2QY5fVr,,,,,,
1005004074116604,https://ae-pic-a1.aliexpress-media.com/kf/Sc84e0842555042f1843b23e91bcfe03eW.jpg,,2in1 Stylus Pen Universal Drawing Tablet Capacitive Screen Touch Pen for Tablet Mobile Android ios Phone iPad Xiaomi Accessories,USD 1.88,USD 1.81,3%,USD,7.0,USD 0.13,7.0,USD 0.13,84,93.8%,https://s.click.aliexpress.com/e/_c3s6TLP7,,,,,,
1005007632803039,https://ae-pic-a1.aliexpress-media.com/kf/Sa54af53039cb4c89b83106c8d26b574dq.jpg,,Mousepad Laptop Office Desk Anime Mouse Mats Kawaii Gaming Pad on The Table Setup Gamer Accessories Keyboard Mouse Rug Carpet,USD 4.36,USD 4.36,0%,USD,8.0,USD 0.35,3.0,USD 0.13,28,94.1%,https://s.click.aliexpress.com/e/_c3L1ovIv,,,,,,
1005006357512526,https://ae-pic-a1.aliexpress-media.com/kf/Sd0d8141fe82e4fbca6a3769da0b04352P.jpg,,M.2 NVME PCIe NGFF SATA Dual Protocol SSD Case Clear USB Type C 10Gbps PCI-E M2 SSD Transparent External Enclosure Hard Disk Box,USD 14.74,USD 8.04,45%,USD,3.0,USD 0.24,3.0,USD 0.24,458,92.9%,https://s.click.aliexpress.com/e/_c3sHsgiH,,,,,,
1005007670454545,https://ae-pic-a1.aliexpress-media.com/kf/S69717b0742484fad94c03454dc0ff6cft.jpg,,Kodak KODAK K122 USB2.0 mini full metal USB flash drive high speed car 32G-128G computer office USB flash drive,USD 24.56,USD 11.30,54%,USD,3.0,USD 0.34,3.0,USD 0.34,612,95.2%,https://s.click.aliexpress.com/e/_c41m01bT,,,,,,
1005009867556999,https://ae-pic-a1.aliexpress-media.com/kf/S100cbf5bbd144dfba461941ec12ecbebL.jpg,,MAMBASNAKE x ATTACK SHARK R11 Ultra 8K Carbon Fiber Wireless Gaming Mouse with 42000 DPI-PAW3950 MAX Sensor-49g Lightweight,USD 125.39,USD 87.77,30%,USD,3.0,USD 2.63,3.0,USD 2.63,72,99.3%,https://s.click.aliexpress.com/e/_c4KMQDyV,,,,,,
1005007244519033,https://ae-pic-a1.aliexpress-media.com/kf/S79f80fc8cd6944bf86c02d91dcbe6cc2Q.jpg,,4-Port Multi-Splitter Type C Hub USB Adapter OTG for Xiaomi Lenovo MacBook 13 15 Air pro PC - Computer Accessories,USD 3.46,USD 1.03,70%,USD,3.0,USD 0.03,3.0,USD 0.03,32979,94.0%,https://s.click.aliexpress.com/e/_c3amWlCl,,,,,,
1005008678014217,https://ae-pic-a1.aliexpress-media.com/kf/S85d7390aa0e344fd94bdb433bf504c2f3.jpg,,SATA to USB 3.0 Cable Up to 6 Gbps USB 3.0/2.0 to Sata III Cable for 2.5 Inch External HDD SSD Hard Drive SATA 3 22 Pin Adapter,USD 2.11,USD 2.11,0%,USD,3.0,USD 0.06,3.0,USD 0.06,105,92.0%,https://s.click.aliexpress.com/e/_c3ttyJo5,,,,,,
1005010124473795,https://ae-pic-a1.aliexpress-media.com/kf/Sc82789c6a3594407a39764d68f8fa8ffv.png,,USB C Hub 8In1 7in2 7in1 Type C 3.1 To 4K HDMI Adapter with RJ45 SD/TF Card Reader PD Fast Charge for MacBook Notebook Laptop,USD 8.10,USD 3.89,52%,USD,3.0,USD 0.12,3.0,USD 0.12,10586,90.8%,https://s.click.aliexpress.com/e/_c3yp1I4Z,,,,,,
1005006750448278,https://ae-pic-a1.aliexpress-media.com/kf/S6cf53e527cd24183b53fe253feb3c0c55.jpg,,"8 In 2 USB HUB With Splitter Card Reader, USB C Port, USB 3.0 / 2.0, SD/TF Splitter Card Reader, Docking Station",USD 6.67,USD 3.07,54%,USD,3.0,USD 0.09,3.0,USD 0.09,5692,94.2%,https://s.click.aliexpress.com/e/_c2vkYmYt,,,,,,
1005005825844730,https://ae-pic-a1.aliexpress-media.com/kf/Scb8af5e4357640d9a6d4abf19f4e40d5S.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2675040003/p/1/e/6/t/10301/4000182908248.mp4,4Port USB 3.0 Hub USB Hub High Speed type c Splitter 5Gbps For PC Computer Accessories Multiport HUB 4 USB 3.0 2.0 Ports,USD 1.64,USD 1.61,1%,USD,3.0,USD 0.05,3.0,USD 0.05,1280,95.6%,https://s.click.aliexpress.com/e/_c3UEY6rB,,,,,,
1005002323756615,https://ae-pic-a1.aliexpress-media.com/kf/H67c53385b8c24268a889803949017f36i.jpg,,Usb Sata Cable Sata 3 To Usb 3.0 /2.0/3.1 Adapter Cables Connectors Usb Sata Adapter Cable Support 2.5 Inches Ssd Hdd Hard Drive,USD 2.65,USD 2.65,0%,USD,8.0,USD 0.21,3.0,USD 0.08,60,85.2%,https://s.click.aliexpress.com/e/_c4ofysFB,,,,,,
1005005784953231,https://ae-pic-a1.aliexpress-media.com/kf/S852c4845ec0043ab8299b3b42e813b63S.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/239234800/p/1/e/6/t/10301/1100159015744.mp4,Micro Memory SD Card 128GB 32GB 64GB SD Card SD/TF Flash Card 32 64 128GB Class 10 Memory Card For Phone,USD 13.26,USD 5.97,55%,USD,3.0,USD 0.18,3.0,USD 0.18,590,93.5%,https://s.click.aliexpress.com/e/_c3ehKHvR,,,,,,
1005007789673356,https://ae-pic-a1.aliexpress-media.com/kf/Sa9e85a75ae984d7099e9ee36155dfa1fq.jpg,,Type c Adapter TF CF sD Memory Card Reader OTG Writer Compact FlashUsB-C for lPad Pro Huawei Macbook samsung Xiaomi cardreader,USD 4.30,USD 1.67,61%,USD,3.0,USD 0.05,3.0,USD 0.05,10159,94.2%,https://s.click.aliexpress.com/e/_c3p8FGAV,,,,,,
1005007895643459,https://ae-pic-a1.aliexpress-media.com/kf/S2f7966e4e37649d38e4fd94c4a101ca2N.jpg,,"ATTACK SHARK R6 Ultralight 39g Wireless 8K Gaming Mouse, PAW3950MAX Sensor, Nordic 52840, 42K DPI, 2.4G/BT/Wired, for PC/MAC",USD 101.76,USD 71.23,30%,USD,8.0,USD 5.70,3.0,USD 2.14,126,95.4%,https://s.click.aliexpress.com/e/_c3gyqEvL,,,,,,
1005007061266873,https://ae-pic-a1.aliexpress-media.com/kf/Sde6bf12af43e4914869dc343bcb87692n.png,,4 Ports Hi-Speed HUBs High Speed 4 Port USB 3.0 Multi HUB Splitter Expansion For Desktop PC Laptop Adapter,USD 1.84,USD 1.81,1%,USD,3.0,USD 0.05,3.0,USD 0.05,1171,92.2%,https://s.click.aliexpress.com/e/_c3GWMZYl,,,,,,
1005004104496248,https://ae-pic-a1.aliexpress-media.com/kf/Sba8ebb3722ae4a6299aa3eac8d316c80z.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/201641041/p/1/e/6/t/10301/1100126359307.mp4,M.2 NVME SSD  to PCIe 4.0 Adapter Card 64Gbps M-Key PCIe4.0 X1 X4 Adapter for Desktop PC PCI-E GEN4 Full Speed,USD 4.35,USD 4.35,0%,USD,8.0,USD 0.35,7.0,USD 0.30,137,91.8%,https://s.click.aliexpress.com/e/_c2wy5gh7,,,,,,
1005007611184253,https://ae-pic-a1.aliexpress-media.com/kf/Sc929d14e36614d4ab452eefb711ef7a6f.jpg,,Honeywell PTM7950 Phase Change Pad 8.5W/mk Thermal Grease Material Laptop/CPU/GPU Heatsink cooling Thermal Conductive Paste Pad,USD 4.83,USD 4.83,0%,USD,7.0,USD 0.34,7.0,USD 0.34,5818,96.6%,https://s.click.aliexpress.com/e/_c4pm4NlX,,,,,,
1005006779445112,https://ae-pic-a1.aliexpress-media.com/kf/S568c902db2cf46fa808dab3fbcb3e737W.jpg,,Wireless Mouse RGB Rechargeable Bluetooth Mice Wireless Computer Mause LED Backlit Ergonomic Gaming Mouse for Laptop PC 3600DPI,USD 5.36,USD 2.68,50%,USD,3.0,USD 0.08,3.0,USD 0.08,9550,94.0%,https://s.click.aliexpress.com/e/_c4kLyXpr,,,,,,
1005007912676426,https://ae-pic-a1.aliexpress-media.com/kf/Sf3165bc91cb8489d9ac752d3579c720eZ.jpg,,Tablet Bag Case for Samsung Galaxy Tab S11 S10 Plus Ultra S9 S8 FE+ Universal Laptop Pouch Handbag for Tab S11 Lite Accessories,USD 12.67,USD 12.67,0%,USD,8.0,USD 1.01,7.0,USD 0.89,272,90.7%,https://s.click.aliexpress.com/e/_c3nUlGZ7,,,,,,
1005004786718754,https://ae-pic-a1.aliexpress-media.com/kf/S1ba63397ddab488c9f0a0ad60707af4aK.jpg,,SomnAmbulist Pen Drive 32GB 64GB 128GB High Speed USB2.0 for PC Mobile Mini Pen Drive 16GB 32GB USB Flash Drive 64GB 8GB 4GB,USD 5.26,USD 2.63,50%,USD,3.0,USD 0.08,3.0,USD 0.08,9845,91.3%,https://s.click.aliexpress.com/e/_c3N8W9nL,,,,,,
1005004215856040,https://ae-pic-a1.aliexpress-media.com/kf/S6a6c3b07d7d24b27a6b6bef182122f1d2.png,https://video.aliexpress-media.com/play/u/ae_sg_item/244111748/p/1/e/6/t/10301/1100041419941.mp4,2 in 1 Universal Stylus Pen For Tablet Mobile Android ios Phone iPad Accessories Drawing Tablet Capacitive Screen Touch Pen,USD 1.46,USD 1.35,7%,USD,8.0,USD 0.11,7.0,USD 0.09,2912,93.3%,https://s.click.aliexpress.com/e/_c3EbeYcD,,,,,,
